community_id,topic,topic_id,count,percent
0,2_biased_debates_cited_statistics,2,10316,0.10769166527476198
1,1_boundaries_debt_finances_punishment,1,242,0.1677061677061677
2,3_congress_presidency_democrats_dems,3,5546,0.18536715799324843
3,1_boundaries_debt_finances_punishment,1,5987,0.4362748670115864
4,2_biased_debates_cited_statistics,2,303,0.1255698300870286
5,4_expectations_roles_conversations_statistics,4,25,0.36231884057971014
6,1_boundaries_debt_finances_punishment,1,24,0.26666666666666666
7,32_consideration_farmed_empathy_pig,32,126,0.48091603053435117
8,2_biased_debates_cited_statistics,2,24,0.22857142857142856
9,1_boundaries_debt_finances_punishment,1,162,0.4263157894736842
10,4_expectations_roles_conversations_statistics,4,50,0.1773049645390071
11,10_amendment_campaign_conservatives_liberals,10,82,0.35807860262008734
12,41_households_husband_mothers_mother,41,90,0.3813559322033898
13,4_expectations_roles_conversations_statistics,4,145,0.46474358974358976
14,34_obligated_00_cash_tipping,34,8,0.34782608695652173
15,2_biased_debates_cited_statistics,2,43,0.16226415094339622
16,2_biased_debates_cited_statistics,2,16,0.125
17,1_boundaries_debt_finances_punishment,1,51,0.37777777777777777
18,24_development_tasks_technology_productivity,24,15,0.2
19,4_expectations_roles_conversations_statistics,4,25,0.2336448598130841
20,17_reform_deterrence_rehabilitate_sentences,17,38,0.5507246376811594
22,28_societies_societal_nations_infrastructure,28,8,0.15384615384615385
23,1_boundaries_debt_finances_punishment,1,41,0.3153846153846154
24,4_expectations_roles_conversations_statistics,4,42,0.4375
25,42_abstain_abstaining_lazy_dislike,42,6,0.14634146341463414
26,1_boundaries_debt_finances_punishment,1,41,0.3037037037037037
27,22_compromise_advance_slip_ppl,22,41,0.3228346456692913
29,0_nato_putin_russia_territory,0,16,0.18604651162790697
30,1_boundaries_debt_finances_punishment,1,78,0.52
31,0_nato_putin_russia_territory,0,81,0.6328125
32,12_nato_planned_regimes_mao,12,24,0.3037974683544304
33,31_alice_cash_ops_unemployed,31,26,0.19548872180451127
34,2_biased_debates_cited_statistics,2,25,0.16339869281045752
35,0_nato_putin_russia_territory,0,16,0.26666666666666666
36,10_amendment_campaign_conservatives_liberals,10,22,0.3548387096774194
37,5_sharia_violence_evangelicals_practices,5,34,0.5964912280701754
38,50_niche_progression_abilities_subscriptions,50,40,0.6451612903225806
39,9_democrats_election_republicans_dems,9,43,0.39090909090909093
40,0_nato_putin_russia_territory,0,30,0.46153846153846156
41,3_congress_presidency_democrats_dems,3,27,0.27
42,19_conservatives_studies_liberals_statements,19,19,0.16379310344827586
43,46_universes_travel_universe_awareness,46,36,0.3130434782608696
44,2_biased_debates_cited_statistics,2,26,0.4262295081967213
45,3_congress_presidency_democrats_dems,3,20,0.30303030303030304
46,4_expectations_roles_conversations_statistics,4,11,0.4583333333333333
47,7_democratic_democrats_dems_voting,7,16,0.2909090909090909
49,8_distrust_demanding_fraud_suspicions,8,43,0.4777777777777778
50,3_congress_presidency_democrats_dems,3,20,0.30303030303030304
51,55_damages_freeing_banned_owning,55,19,0.3392857142857143
52,0_nato_putin_russia_territory,0,6,0.25
56,4_expectations_roles_conversations_statistics,4,17,0.425
58,17_reform_deterrence_rehabilitate_sentences,17,10,0.24390243902439024
59,1_boundaries_debt_finances_punishment,1,16,0.5333333333333333
60,55_damages_freeing_banned_owning,55,8,0.17777777777777778
64,2_biased_debates_cited_statistics,2,7,0.21875
65,0_nato_putin_russia_territory,0,38,0.6129032258064516
