community_type,role,count,mean_cosine,median_cosine,std_cosine
Moderate,Average,184,0.7116432429615355,0.7200557194843965,0.10076698172087152
Moderate,Bridge,32,0.7099225843682851,0.7199419189464471,0.1104149815622578
Moderate,Hub,1,0.7518026254639744,0.7518026254639744,
Strong,Average,3646,0.744316228515155,0.7590204560885654,0.11160584968621366
Strong,Bridge,237,0.7562318247344918,0.7677142226012075,0.10054200677795185
Strong,Hub,142,0.7499489716087534,0.75806550179417,0.1448312721395237
Very Strong,Average,3214,0.7370070777647727,0.7524072486885294,0.10500908792475779
Very Strong,Bridge,174,0.7564028528428427,0.7697813473147539,0.08970809202296347
Very Strong,Hub,120,0.7968786970788441,0.8152580667851257,0.11580431383102567
Weak,Average,27,0.6742919954362402,0.7147840585579127,0.11314069820677591
Weak,Bridge,10,0.6813255096297365,0.6722494783132333,0.06707194118180526
